layer,arm,n_variables,n_subjects,crest_age,peak_n_significant,peak_frac,min_n_significant,total_significant_tests,n_windows_with_any,median_span
plasma_transcriptome,loess_deswan,8556,97,43.0,7102,0.8300607760635811,5083,153505,25,0.6
plasma_transcriptome,deswan_only,8556,97,40.0,0,0.0,0,0,0,
plasma_proteomics,loess_deswan,302,102,44.0,245,0.8112582781456954,174,5042,25,0.6
plasma_proteomics,deswan_only,302,102,55.0,1,0.0033112582781456954,0,1,1,
plasma_metabolomics_metabolite,loess_deswan,814,96,47.0,663,0.8144963144963145,514,14684,25,0.6
plasma_metabolomics_metabolite,deswan_only,814,96,55.0,3,0.0036855036855036856,0,7,4,
plasma_lipidomics,loess_deswan,846,97,45.0,767,0.9066193853427896,468,15818,25,0.6
plasma_lipidomics,deswan_only,846,97,40.0,0,0.0,0,0,0,
plasma_cytokine,loess_deswan,66,91,50.0,62,0.9393939393939394,8,1041,25,0.5
plasma_cytokine,deswan_only,66,91,40.0,0,0.0,0,0,0,
clinical_test,loess_deswan,51,100,63.0,43,0.8431372549019608,30,884,25,0.6
clinical_test,deswan_only,51,100,40.0,0,0.0,0,0,0,
gut_microbiome,loess_deswan,22892,77,45.0,13971,0.6103005416739472,8708,285633,25,0.6
gut_microbiome,deswan_only,22892,77,40.0,0,0.0,0,0,0,
oral_microbiome,loess_deswan,1522,85,41.0,1035,0.6800262812089356,758,21381,25,0.6
oral_microbiome,deswan_only,1522,85,40.0,0,0.0,0,0,0,
skin_microbiome,loess_deswan,3713,84,40.0,2148,0.5785079450579047,1440,48234,25,0.6
skin_microbiome,deswan_only,3713,84,40.0,0,0.0,0,0,0,
nasal_microbiome,loess_deswan,9845,84,40.0,6472,0.6573895378364653,3507,120639,25,0.6
nasal_microbiome,deswan_only,9845,84,40.0,0,0.0,0,0,0,
