layer,representation,component,n_variables,crest_age,peak_n,peak_frac,min_n,min_frac,total_significant,n_windows_with_any,peak_to_floor,n_young_min,n_young_max,n_old_min,n_old_max,median_width
plasma_transcriptome,raw,neither,8556,,0,0.0,0,0.0,0,0,inf,5,40,16,40,19.25
plasma_transcriptome,interp_only,densification only,8556,40.0,891,0.1041374474053296,0,0.0,3222,10,inf,20,20,20,20,19.5
plasma_transcriptome,loess_at_ages,smoothing only,8556,60.0,6808,0.7956989247311828,5039,0.5889434315100515,157612,25,1.3510617185949594,5,40,16,40,19.25
plasma_transcriptome,loess_grid,both (PUBLISHED),8556,43.0,7102,0.8300607760635811,5083,0.5940860215053764,153505,25,1.3972063741884713,20,20,20,20,19.5
plasma_proteomics,raw,neither,302,55.0,1,0.0033112582781456954,0,0.0,1,1,inf,5,42,16,42,19.25
plasma_proteomics,interp_only,densification only,302,40.0,94,0.31125827814569534,0,0.0,346,12,inf,20,20,20,20,19.5
plasma_proteomics,loess_at_ages,smoothing only,302,57.0,238,0.7880794701986755,179,0.5927152317880795,5283,25,1.329608938547486,5,42,16,42,19.25
plasma_proteomics,loess_grid,both (PUBLISHED),302,44.0,245,0.8112582781456954,174,0.5761589403973509,5042,25,1.4080459770114941,20,20,20,20,19.5
plasma_cytokine,raw,neither,66,,0,0.0,0,0.0,0,0,inf,5,39,13,39,19.15
plasma_cytokine,interp_only,densification only,66,40.0,15,0.22727272727272727,0,0.0,44,12,inf,20,20,20,20,19.5
plasma_cytokine,loess_at_ages,smoothing only,66,50.0,64,0.9696969696969697,18,0.2727272727272727,1101,25,3.5555555555555554,5,39,13,39,19.15
plasma_cytokine,loess_grid,both (PUBLISHED),66,50.0,62,0.9393939393939394,8,0.12121212121212122,1041,25,7.75,20,20,20,20,19.5
clinical_test,raw,neither,51,,0,0.0,0,0.0,0,0,inf,5,41,16,41,19.25
clinical_test,interp_only,densification only,51,40.0,23,0.45098039215686275,0,0.0,79,12,inf,20,20,20,20,19.5
clinical_test,loess_at_ages,smoothing only,51,55.0,42,0.8235294117647058,21,0.4117647058823529,916,25,2.0,5,41,16,41,19.25
clinical_test,loess_grid,both (PUBLISHED),51,63.0,43,0.8431372549019608,30,0.5882352941176471,884,25,1.4333333333333333,20,20,20,20,19.5
plasma_metabolomics_metabolite,raw,neither,814,55.0,3,0.0036855036855036856,0,0.0,7,4,inf,5,39,16,39,19.25
plasma_metabolomics_metabolite,interp_only,densification only,814,41.0,237,0.29115479115479115,0,0.0,1117,17,inf,20,20,20,20,19.5
plasma_metabolomics_metabolite,loess_at_ages,smoothing only,814,55.0,667,0.8194103194103194,483,0.5933660933660934,15066,25,1.380952380952381,5,39,16,39,19.25
plasma_metabolomics_metabolite,loess_grid,both (PUBLISHED),814,47.0,663,0.8144963144963145,514,0.6314496314496314,14684,25,1.2898832684824904,20,20,20,20,19.5
plasma_lipidomics,raw,neither,846,,0,0.0,0,0.0,0,0,inf,5,39,16,39,19.25
plasma_lipidomics,interp_only,densification only,846,50.0,231,0.2730496453900709,0,0.0,732,7,inf,20,20,20,20,19.5
plasma_lipidomics,loess_at_ages,smoothing only,846,44.0,778,0.9196217494089834,249,0.29432624113475175,16385,25,3.1244979919678717,5,39,16,39,19.25
plasma_lipidomics,loess_grid,both (PUBLISHED),846,45.0,767,0.9066193853427896,468,0.5531914893617021,15818,25,1.6388888888888888,20,20,20,20,19.5
