layer,factor,level,arm,n_variables,crest_age,peak_n,peak_frac,min_n,min_frac,total_significant,n_windows_with_any,peak_to_floor,n_young_min,n_young_max,n_old_min,n_old_max,median_width
plasma_transcriptome,test,wilcoxon,loess_grid,8556,43.0,7102,0.8300607760635811,5083,0.5940860215053764,153505,25,1.3972063741884713,20,20,20,20,19.5
plasma_transcriptome,test,wilcoxon,raw,8556,,0,0.0,0,0.0,0,0,inf,5,40,16,40,19.25
plasma_transcriptome,test,linear,loess_grid,8556,43.0,7153,0.8360215053763441,5350,0.6252921926133708,160029,25,1.3370093457943926,20,20,20,20,19.5
plasma_transcriptome,test,linear,raw,8556,45.0,2,0.0002337540906965872,0,0.0,2,1,inf,5,40,16,40,19.25
plasma_transcriptome,scheme,fixed_width,loess_grid,8556,43.0,7102,0.8300607760635811,5083,0.5940860215053764,153505,25,1.3972063741884713,20,20,20,20,19.5
plasma_transcriptome,scheme,fixed_width,raw,8556,,0,0.0,0,0.0,0,0,inf,5,40,16,40,19.25
plasma_transcriptome,scheme,quantile,loess_grid,8556,30.9,8116,0.9485741000467508,5083,0.5940860215053764,162549,25,1.5966948652370647,10,20,10,20,19.5
plasma_transcriptome,scheme,quantile,raw,8556,57.176,1,0.0001168770453482936,0,0.0,1,1,inf,7,39,10,39,19.049999999999997
plasma_transcriptome,scheme,equal_n,loess_grid,8556,43.0,7102,0.8300607760635811,5083,0.5940860215053764,153505,25,1.3972063741884713,20,20,20,20,19.5
plasma_transcriptome,scheme,equal_n,raw,8556,,0,0.0,0,0.0,0,0,inf,0,24,0,24,13.870000000000005
plasma_transcriptome,span,0.3,loess_grid,8556,46.0,5440,0.6358111266947172,2207,0.25794763908368395,102503,25,2.4648844585410057,20,20,20,20,19.5
plasma_transcriptome,span,0.4,loess_grid,8556,44.0,6623,0.7740766713417485,3609,0.4218092566619916,130611,25,1.8351343862565808,20,20,20,20,19.5
plasma_transcriptome,span,0.5,loess_grid,8556,43.0,7147,0.8353202431042543,4830,0.5645161290322581,147744,25,1.4797101449275363,20,20,20,20,19.5
plasma_transcriptome,span,0.6,loess_grid,8556,43.0,7254,0.8478260869565217,5265,0.6153576437587658,161267,25,1.3777777777777778,20,20,20,20,19.5
plasma_transcriptome,confounder_adjusted,Gender+Ethnicity+IRIS,loess_grid,8556,43.0,7189,0.8402290790088827,4724,0.552127162225339,155233,25,1.5218035563082133,20,20,20,20,19.5
plasma_transcriptome,confounder_adjusted,Gender+Ethnicity+IRIS,raw,8556,57.0,1,0.0001168770453482936,0,0.0,1,1,inf,5,40,16,40,19.25
plasma_proteomics,test,wilcoxon,loess_grid,302,44.0,245,0.8112582781456954,174,0.5761589403973509,5042,25,1.4080459770114941,20,20,20,20,19.5
plasma_proteomics,test,wilcoxon,raw,302,55.0,1,0.0033112582781456954,0,0.0,1,1,inf,5,42,16,42,19.25
plasma_proteomics,test,linear,loess_grid,302,44.0,250,0.8278145695364238,189,0.6258278145695364,5337,25,1.3227513227513228,20,20,20,20,19.5
plasma_proteomics,test,linear,raw,302,46.0,1,0.0033112582781456954,0,0.0,3,3,inf,5,42,16,42,19.25
plasma_proteomics,scheme,fixed_width,loess_grid,302,44.0,245,0.8112582781456954,174,0.5761589403973509,5042,25,1.4080459770114941,20,20,20,20,19.5
plasma_proteomics,scheme,fixed_width,raw,302,55.0,1,0.0033112582781456954,0,0.0,1,1,inf,5,42,16,42,19.25
plasma_proteomics,scheme,quantile,loess_grid,302,32.53333333333333,287,0.9503311258278145,175,0.5794701986754967,5576,25,1.64,10,20,10,20,19.5
plasma_proteomics,scheme,quantile,raw,302,54.127333333333326,1,0.0033112582781456954,0,0.0,2,2,inf,8,44,11,42,19.060000000000002
plasma_proteomics,scheme,equal_n,loess_grid,302,44.0,245,0.8112582781456954,174,0.5761589403973509,5042,25,1.4080459770114941,20,20,20,20,19.5
plasma_proteomics,scheme,equal_n,raw,302,,0,0.0,0,0.0,0,0,inf,0,25,0,25,14.189999999999998
plasma_proteomics,span,0.3,loess_grid,302,42.0,224,0.7417218543046358,93,0.3079470198675497,3525,25,2.4086021505376345,20,20,20,20,19.5
plasma_proteomics,span,0.4,loess_grid,302,42.0,240,0.7947019867549668,132,0.4370860927152318,4228,25,1.8181818181818181,20,20,20,20,19.5
plasma_proteomics,span,0.5,loess_grid,302,43.0,241,0.7980132450331126,161,0.5331125827814569,4906,25,1.4968944099378882,20,20,20,20,19.5
plasma_proteomics,span,0.6,loess_grid,302,44.0,250,0.8278145695364238,185,0.6125827814569537,5284,25,1.3513513513513513,20,20,20,20,19.5
plasma_proteomics,confounder_adjusted,Gender+Ethnicity+IRIS,loess_grid,302,46.0,235,0.7781456953642384,172,0.5695364238410596,5106,25,1.3662790697674418,20,20,20,20,19.5
plasma_proteomics,confounder_adjusted,Gender+Ethnicity+IRIS,raw,302,55.0,1,0.0033112582781456954,0,0.0,1,1,inf,5,42,16,42,19.25
plasma_cytokine,test,wilcoxon,loess_grid,66,50.0,62,0.9393939393939394,8,0.12121212121212122,1041,25,7.75,20,20,20,20,19.5
plasma_cytokine,test,wilcoxon,raw,66,,0,0.0,0,0.0,0,0,inf,5,39,13,39,19.15
plasma_cytokine,test,linear,loess_grid,66,50.0,63,0.9545454545454546,9,0.13636363636363635,1120,25,7.0,20,20,20,20,19.5
plasma_cytokine,test,linear,raw,66,52.0,3,0.045454545454545456,0,0.0,3,1,inf,5,39,13,39,19.15
plasma_cytokine,scheme,fixed_width,loess_grid,66,50.0,62,0.9393939393939394,8,0.12121212121212122,1041,25,7.75,20,20,20,20,19.5
plasma_cytokine,scheme,fixed_width,raw,66,,0,0.0,0,0.0,0,0,inf,5,39,13,39,19.15
plasma_cytokine,scheme,quantile,loess_grid,66,30.9,66,1.0,10,0.15151515151515152,1121,25,6.6,10,20,10,20,19.5
plasma_cytokine,scheme,quantile,raw,66,,0,0.0,0,0.0,0,0,inf,7,38,10,39,19.040000000000006
plasma_cytokine,scheme,equal_n,loess_grid,66,50.0,62,0.9393939393939394,8,0.12121212121212122,1041,25,7.75,20,20,20,20,19.5
plasma_cytokine,scheme,equal_n,raw,66,,0,0.0,0,0.0,0,0,inf,0,22,0,22,14.399999999999999
plasma_cytokine,span,0.3,loess_grid,66,50.0,56,0.8484848484848485,7,0.10606060606060606,837,25,8.0,20,20,20,20,19.5
plasma_cytokine,span,0.4,loess_grid,66,51.0,61,0.9242424242424242,9,0.13636363636363635,970,25,6.777777777777778,20,20,20,20,19.5
plasma_cytokine,span,0.5,loess_grid,66,50.0,62,0.9393939393939394,12,0.18181818181818182,1121,25,5.166666666666667,20,20,20,20,19.5
plasma_cytokine,span,0.6,loess_grid,66,51.0,63,0.9545454545454546,14,0.21212121212121213,1188,25,4.5,20,20,20,20,19.5
plasma_cytokine,confounder_adjusted,Gender+Ethnicity+IRIS,loess_grid,66,49.0,62,0.9393939393939394,9,0.13636363636363635,1131,25,6.888888888888889,20,20,20,20,19.5
plasma_cytokine,confounder_adjusted,Gender+Ethnicity+IRIS,raw,66,43.0,20,0.30303030303030304,0,0.0,72,6,inf,5,39,13,39,19.15
clinical_test,test,wilcoxon,loess_grid,51,63.0,43,0.8431372549019608,30,0.5882352941176471,884,25,1.4333333333333333,20,20,20,20,19.5
clinical_test,test,wilcoxon,raw,51,,0,0.0,0,0.0,0,0,inf,5,41,16,41,19.25
clinical_test,test,linear,loess_grid,51,45.0,44,0.8627450980392157,28,0.5490196078431373,916,25,1.5714285714285714,20,20,20,20,19.5
clinical_test,test,linear,raw,51,40.0,1,0.0196078431372549,0,0.0,3,3,inf,5,41,16,41,19.25
clinical_test,scheme,fixed_width,loess_grid,51,63.0,43,0.8431372549019608,30,0.5882352941176471,884,25,1.4333333333333333,20,20,20,20,19.5
clinical_test,scheme,fixed_width,raw,51,,0,0.0,0,0.0,0,0,inf,5,41,16,41,19.25
clinical_test,scheme,quantile,loess_grid,51,30.9,43,0.8431372549019608,30,0.5882352941176471,915,25,1.4333333333333333,10,20,10,20,19.5
clinical_test,scheme,quantile,raw,51,58.5,1,0.0196078431372549,0,0.0,1,1,inf,7,41,10,42,19.15
clinical_test,scheme,equal_n,loess_grid,51,63.0,43,0.8431372549019608,30,0.5882352941176471,884,25,1.4333333333333333,20,20,20,20,19.5
clinical_test,scheme,equal_n,raw,51,,0,0.0,0,0.0,0,0,inf,0,24,0,24,13.870000000000005
clinical_test,span,0.3,loess_grid,51,44.0,37,0.7254901960784313,17,0.3333333333333333,676,25,2.176470588235294,20,20,20,20,19.5
clinical_test,span,0.4,loess_grid,51,45.0,40,0.7843137254901961,20,0.39215686274509803,769,25,2.0,20,20,20,20,19.5
clinical_test,span,0.5,loess_grid,51,44.0,40,0.7843137254901961,25,0.49019607843137253,834,25,1.6,20,20,20,20,19.5
clinical_test,span,0.6,loess_grid,51,63.0,42,0.8235294117647058,30,0.5882352941176471,884,25,1.4,20,20,20,20,19.5
clinical_test,confounder_adjusted,Gender+Ethnicity+IRIS,loess_grid,51,44.0,41,0.803921568627451,26,0.5098039215686274,852,25,1.5769230769230769,20,20,20,20,19.5
clinical_test,confounder_adjusted,Gender+Ethnicity+IRIS,raw,51,55.0,3,0.058823529411764705,0,0.0,10,4,inf,5,41,16,41,19.25
plasma_metabolomics_metabolite,test,wilcoxon,loess_grid,814,47.0,663,0.8144963144963145,514,0.6314496314496314,14684,25,1.2898832684824904,20,20,20,20,19.5
plasma_metabolomics_metabolite,test,wilcoxon,raw,814,55.0,3,0.0036855036855036856,0,0.0,7,4,inf,5,39,16,39,19.25
plasma_metabolomics_metabolite,test,linear,loess_grid,814,47.0,685,0.8415233415233415,557,0.6842751842751843,15433,25,1.229802513464991,20,20,20,20,19.5
