layer,arm,bucket,q_threshold,n_variables,crest_age,peak_n,peak_frac,min_n,min_frac,total_significant,n_windows_with_any,peak_to_floor,n_young_min,n_young_max,n_old_min,n_old_max,median_width
plasma_transcriptome,loess_grid,15,0.0001,8556,44.0,5729,0.669588592800374,1734,0.2026647966339411,93539,25,3.303921568627451,15,15,15,15,14.5
plasma_transcriptome,loess_grid,15,0.001,8556,44.0,6379,0.7455586722767649,2638,0.3083216456287985,115953,25,2.418119787717968,15,15,15,15,14.5
plasma_transcriptome,loess_grid,15,0.01,8556,44.0,6961,0.8135811126694718,3693,0.43162692847124823,138058,25,1.884917411318711,15,15,15,15,14.5
plasma_transcriptome,loess_grid,15,0.05,8556,44.0,7338,0.8576437587657784,4793,0.5601916783543712,155835,25,1.5309826830794908,15,15,15,15,14.5
plasma_transcriptome,raw,15,0.0001,8556,,0,0.0,0,0.0,0,0,inf,3,32,14,33,14.14
plasma_transcriptome,raw,15,0.001,8556,,0,0.0,0,0.0,0,0,inf,3,32,14,33,14.14
plasma_transcriptome,raw,15,0.01,8556,,0,0.0,0,0.0,0,0,inf,3,32,14,33,14.14
plasma_transcriptome,raw,15,0.05,8556,,0,0.0,0,0.0,0,0,inf,3,32,14,33,14.14
plasma_transcriptome,loess_grid,20,0.0001,8556,43.0,5279,0.6169939223936419,2283,0.2668302945301543,95286,25,2.3123083661848445,20,20,20,20,19.5
plasma_transcriptome,loess_grid,20,0.001,8556,43.0,5944,0.6947171575502571,3127,0.3654745208041141,113741,25,1.900863447393668,20,20,20,20,19.5
plasma_transcriptome,loess_grid,20,0.01,8556,44.0,6571,0.7679990649836372,4137,0.4835203366058906,135241,25,1.5883490452018372,20,20,20,20,19.5
plasma_transcriptome,loess_grid,20,0.05,8556,43.0,7102,0.8300607760635811,5083,0.5940860215053764,153505,25,1.3972063741884713,20,20,20,20,19.5
plasma_transcriptome,raw,20,0.0001,8556,,0,0.0,0,0.0,0,0,inf,5,40,16,40,19.25
plasma_transcriptome,raw,20,0.001,8556,,0,0.0,0,0.0,0,0,inf,5,40,16,40,19.25
plasma_transcriptome,raw,20,0.01,8556,,0,0.0,0,0.0,0,0,inf,5,40,16,40,19.25
plasma_transcriptome,raw,20,0.05,8556,,0,0.0,0,0.0,0,0,inf,5,40,16,40,19.25
plasma_transcriptome,loess_grid,25,0.0001,8556,45.0,4745,0.5545815801776531,2546,0.2975689574567555,92902,25,1.863707776904949,25,25,23,25,24.5
plasma_transcriptome,loess_grid,25,0.001,8556,44.0,5308,0.6203833567087425,3261,0.3811360448807854,110559,25,1.6277215578043545,25,25,23,25,24.5
plasma_transcriptome,loess_grid,25,0.01,8556,43.0,6116,0.7148200093501637,4210,0.49205236091631605,132072,25,1.4527315914489312,25,25,23,25,24.5
plasma_transcriptome,loess_grid,25,0.05,8556,43.0,6758,0.7898550724637681,5098,0.5958391771856008,150482,25,1.3256178893683797,25,25,23,25,24.5
plasma_transcriptome,raw,25,0.0001,8556,,0,0.0,0,0.0,0,0,inf,6,47,17,47,23.710000000000008
plasma_transcriptome,raw,25,0.001,8556,,0,0.0,0,0.0,0,0,inf,6,47,17,47,23.710000000000008
plasma_transcriptome,raw,25,0.01,8556,,0,0.0,0,0.0,0,0,inf,6,47,17,47,23.710000000000008
plasma_transcriptome,raw,25,0.05,8556,,0,0.0,0,0.0,0,0,inf,6,47,17,47,23.710000000000008
plasma_transcriptome,loess_grid,30,0.0001,8556,46.0,4435,0.5183496961196821,2899,0.3388265544647031,90557,25,1.5298378751293549,28,30,23,30,29.5
plasma_transcriptome,loess_grid,30,0.001,8556,46.0,5059,0.5912809724170173,3620,0.4230949041608228,108120,25,1.3975138121546962,28,30,23,30,29.5
plasma_transcriptome,loess_grid,30,0.01,8556,46.0,5772,0.6746143057503506,4530,0.52945301542777,129359,25,1.2741721854304635,28,30,23,30,29.5
plasma_transcriptome,loess_grid,30,0.05,8556,46.0,6394,0.7473118279569892,5389,0.6298503973819541,148006,25,1.186491000185563,28,30,23,30,29.5
plasma_transcriptome,raw,30,0.0001,8556,,0,0.0,0,0.0,0,0,inf,7,54,17,54,28.140000000000008
plasma_transcriptome,raw,30,0.001,8556,,0,0.0,0,0.0,0,0,inf,7,54,17,54,28.140000000000008
plasma_transcriptome,raw,30,0.01,8556,,0,0.0,0,0.0,0,0,inf,7,54,17,54,28.140000000000008
plasma_transcriptome,raw,30,0.05,8556,,0,0.0,0,0.0,0,0,inf,7,54,17,54,28.140000000000008
plasma_proteomics,loess_grid,15,0.0001,302,44.0,188,0.6225165562913907,86,0.2847682119205298,2977,25,2.186046511627907,15,15,15,15,14.5
plasma_proteomics,loess_grid,15,0.001,302,43.0,211,0.6986754966887417,120,0.3973509933774834,3768,25,1.7583333333333333,15,15,15,15,14.5
plasma_proteomics,loess_grid,15,0.01,302,43.0,244,0.8079470198675497,152,0.5033112582781457,4601,25,1.605263157894737,15,15,15,15,14.5
plasma_proteomics,loess_grid,15,0.05,302,43.0,255,0.8443708609271523,183,0.6059602649006622,5278,25,1.3934426229508197,15,15,15,15,14.5
plasma_proteomics,raw,15,0.0001,302,,0,0.0,0,0.0,0,0,inf,3,34,14,34,14.170000000000009
plasma_proteomics,raw,15,0.001,302,,0,0.0,0,0.0,0,0,inf,3,34,14,34,14.170000000000009
plasma_proteomics,raw,15,0.01,302,,0,0.0,0,0.0,0,0,inf,3,34,14,34,14.170000000000009
plasma_proteomics,raw,15,0.05,302,,0,0.0,0,0.0,0,0,inf,3,34,14,34,14.170000000000009
plasma_proteomics,loess_grid,20,0.0001,302,42.0,173,0.5728476821192053,87,0.28807947019867547,3025,25,1.9885057471264367,20,20,20,20,19.5
plasma_proteomics,loess_grid,20,0.001,302,44.0,196,0.6490066225165563,111,0.3675496688741722,3660,25,1.7657657657657657,20,20,20,20,19.5
plasma_proteomics,loess_grid,20,0.01,302,44.0,223,0.7384105960264901,145,0.48013245033112584,4407,25,1.5379310344827586,20,20,20,20,19.5
plasma_proteomics,loess_grid,20,0.05,302,44.0,245,0.8112582781456954,174,0.5761589403973509,5042,25,1.4080459770114941,20,20,20,20,19.5
plasma_proteomics,raw,20,0.0001,302,,0,0.0,0,0.0,0,0,inf,5,42,16,42,19.25
plasma_proteomics,raw,20,0.001,302,,0,0.0,0,0.0,0,0,inf,5,42,16,42,19.25
plasma_proteomics,raw,20,0.01,302,55.0,1,0.0033112582781456954,0,0.0,1,1,inf,5,42,16,42,19.25
