simulation,crest,peak
0,40.0,805
1,42.0,816
2,40.0,796
3,40.0,830
4,42.0,827
5,40.0,827
6,40.0,816
7,40.0,798
8,40.0,808
9,40.0,826
10,41.0,814
11,40.0,807
12,41.0,803
13,43.0,806
14,42.0,809
15,42.0,812
16,40.0,799
17,40.0,832
18,40.0,829
19,41.0,805
20,43.0,807
21,42.0,808
22,40.0,825
23,40.0,807
24,43.0,828
25,40.0,835
26,42.0,801
27,40.0,806
28,43.0,796
29,42.0,813
30,41.0,818
31,42.0,805
32,40.0,806
33,40.0,815
34,42.0,823
35,40.0,834
36,43.0,813
37,40.0,808
38,41.0,810
39,40.0,827
40,40.0,807
41,43.0,804
42,40.0,819
43,40.0,810
44,43.0,784
45,43.0,809
46,40.0,823
47,43.0,806
48,41.0,810
49,42.0,814
50,40.0,830
51,40.0,794
52,45.0,790
53,42.0,806
54,42.0,806
55,40.0,811
56,41.0,810
57,40.0,792
58,40.0,829
59,40.0,812
60,44.0,811
61,44.0,811
62,40.0,807
63,44.0,811
64,43.0,797
65,40.0,834
66,42.0,812
67,44.0,800
68,42.0,808
69,40.0,805
70,41.0,805
71,42.0,826
72,40.0,795
73,42.0,802
74,43.0,795
75,43.0,808
76,40.0,825
77,40.0,811
78,40.0,797
79,40.0,828
80,40.0,818
81,40.0,808
82,43.0,799
83,40.0,816
84,40.0,810
85,41.0,797
86,40.0,792
87,42.0,809
88,40.0,811
89,40.0,807
90,40.0,809
91,40.0,799
92,43.0,798
93,42.0,804
94,45.0,810
95,40.0,787
96,40.0,817
97,40.0,811
98,43.0,790
99,40.0,825
100,40.0,807
101,43.0,801
102,42.0,809
103,43.0,827
104,41.0,809
105,41.0,812
106,42.0,802
107,40.0,825
108,40.0,823
109,42.0,797
110,43.0,802
111,42.0,807
112,40.0,818
113,40.0,814
114,41.0,811
115,40.0,804
116,40.0,805
117,43.0,809
118,40.0,820
119,40.0,831
120,40.0,806
121,40.0,807
122,40.0,808
123,41.0,811
124,40.0,806
125,45.0,819
126,40.0,816
127,40.0,803
128,40.0,806
129,40.0,806
130,40.0,807
131,43.0,812
132,40.0,819
133,40.0,815
134,40.0,819
135,40.0,800
136,40.0,813
137,40.0,802
138,40.0,807
139,42.0,813
140,40.0,811
141,42.0,813
142,42.0,796
143,40.0,846
144,41.0,818
145,42.0,813
146,43.0,804
147,40.0,808
148,43.0,814
149,40.0,814
150,42.0,788
151,40.0,848
152,40.0,808
153,41.0,799
154,43.0,806
155,40.0,810
156,44.0,811
157,42.0,809
158,40.0,801
159,40.0,798
160,40.0,819
161,40.0,792
162,40.0,834
163,43.0,808
164,42.0,808
165,40.0,816
166,40.0,802
167,40.0,805
168,40.0,814
169,41.0,798
170,40.0,819
171,40.0,799
172,40.0,803
173,40.0,813
174,40.0,814
175,43.0,792
176,40.0,801
177,40.0,804
178,40.0,829
179,43.0,831
180,40.0,814
181,41.0,809
182,40.0,802
183,40.0,809
184,44.0,808
185,44.0,798
186,40.0,827
187,40.0,812
188,41.0,803
189,40.0,795
190,42.0,820
191,40.0,815
192,42.0,807
193,40.0,826
194,43.0,812
195,43.0,804
196,40.0,807
197,43.0,800
198,42.0,823
199,40.0,824
200,41.0,808
201,43.0,805
202,40.0,803
203,42.0,800
204,40.0,839
205,42.0,797
206,42.0,809
207,40.0,794
208,42.0,800
209,42.0,802
210,40.0,833
211,40.0,820
212,40.0,806
213,43.0,797
214,42.0,819
215,40.0,818
216,40.0,804
217,40.0,800
218,40.0,796
219,43.0,815
220,41.0,815
221,40.0,794
222,40.0,818
223,40.0,803
224,43.0,802
225,40.0,813
226,40.0,813
227,42.0,809
228,40.0,834
229,40.0,822
230,40.0,804
231,44.0,796
232,40.0,797
233,40.0,812
234,41.0,811
235,40.0,815
236,40.0,815
237,40.0,823
238,41.0,813
239,44.0,808
240,45.0,803
241,40.0,812
242,40.0,801
243,42.0,817
244,40.0,814
245,40.0,829
246,41.0,807
247,43.0,816
248,43.0,806
249,40.0,813
250,41.0,804
251,42.0,796
252,40.0,789
253,43.0,804
254,42.0,819
255,40.0,815
256,40.0,813
257,40.0,791
258,43.0,813
259,40.0,812
260,40.0,800
261,40.0,801
262,40.0,812
263,40.0,811
264,43.0,807
265,40.0,798
266,43.0,836
267,43.0,811
268,40.0,824
269,44.0,799
270,40.0,821
271,42.0,807
272,40.0,829
273,40.0,823
274,42.0,797
275,40.0,804
276,40.0,813
277,40.0,799
278,40.0,810
279,40.0,811
280,40.0,797
281,40.0,801
282,40.0,804
283,43.0,828
284,40.0,824
285,43.0,811
286,40.0,809
287,40.0,801
288,40.0,808
289,40.0,815
290,44.0,807
291,40.0,828
292,40.0,803
293,41.0,800
294,40.0,793
295,40.0,807
296,42.0,790
297,42.0,825
298,43.0,804
299,40.0,810
