midpoint,mean_significant,q025,q975,frac_crest_here,n_molecules
40.0,805.2533333333333,782.0,833.525,0.57,1000
41.0,796.1,772.0,816.0,0.08333333333333333,1000
42.0,795.1466666666666,771.0,819.0,0.15333333333333332,1000
43.0,793.58,771.0,815.525,0.14333333333333334,1000
44.0,785.0733333333334,758.475,811.0,0.03666666666666667,1000
45.0,772.4466666666667,743.425,802.05,0.013333333333333334,1000
46.0,754.7866666666666,730.0,786.0,0.0,1000
47.0,734.8733333333333,704.425,763.0999999999999,0.0,1000
48.0,708.8266666666667,679.475,742.0,0.0,1000
49.0,686.0833333333334,654.95,716.0,0.0,1000
50.0,669.4366666666666,642.0,703.0,0.0,1000
51.0,654.7233333333334,619.0,687.05,0.0,1000
52.0,635.3633333333333,601.475,662.525,0.0,1000
53.0,619.8266666666667,591.475,650.525,0.0,1000
54.0,611.77,578.475,645.0,0.0,1000
55.0,608.8866666666667,571.95,642.0,0.0,1000
56.0,610.1233333333333,575.475,645.0,0.0,1000
57.0,613.49,576.95,645.0,0.0,1000
58.0,620.4033333333333,587.9,651.525,0.0,1000
59.0,628.48,595.95,662.525,0.0,1000
60.0,636.59,605.0,664.525,0.0,1000
61.0,643.3133333333334,607.475,676.0,0.0,1000
62.0,642.2733333333333,609.475,676.0,0.0,1000
63.0,639.1766666666666,602.0,669.525,0.0,1000
64.0,636.8933333333333,605.95,670.0,0.0,1000
