midpoint,mean_significant,q025,q975,crest_frac,n_molecules
36.0,891.14,870.95,909.025,0.985,1000
37.0,868.405,846.0,892.0,0.01,1000
38.0,846.445,824.95,870.025,0.005,1000
39.0,823.955,803.975,848.0,0.0,1000
40.0,805.705,782.975,834.0,0.0,1000
41.0,795.555,767.0,816.05,0.0,1000
42.0,795.215,770.925,820.0,0.0,1000
43.0,793.16,770.875,813.025,0.0,1000
44.0,785.12,758.975,811.0,0.0,1000
45.0,772.695,748.975,800.075,0.0,1000
46.0,755.095,730.0,786.0,0.0,1000
47.0,734.955,702.975,765.025,0.0,1000
48.0,708.51,679.975,744.025,0.0,1000
49.0,686.855,658.975,716.0,0.0,1000
50.0,670.42,642.0,703.0,0.0,1000
51.0,655.425,624.975,686.125,0.0,1000
52.0,635.585,604.975,662.025,0.0,1000
53.0,618.71,592.0,650.025,0.0,1000
54.0,610.46,579.0,645.0,0.0,1000
55.0,607.53,572.95,640.0,0.0,1000
56.0,609.195,575.0,646.0,0.0,1000
57.0,612.53,576.0,644.075,0.0,1000
58.0,620.56,585.9,652.05,0.0,1000
59.0,628.39,595.0,663.0,0.0,1000
60.0,635.875,602.925,664.025,0.0,1000
61.0,643.23,606.975,676.0,0.0,1000
62.0,642.76,609.975,677.0,0.0,1000
63.0,640.325,602.0,673.0,0.0,1000
64.0,638.115,609.825,670.0,0.0,1000
65.0,645.185,614.975,679.0,0.0,1000
