age_dist,midpoint,mean_significant,q025,q975,n_young_raw,n_old_raw,crest_frac,n_molecules,n_subjects
ipop_real,40.0,805.09,785.475,829.05,5,21,0.62,1000,97
ipop_real,41.0,796.02,769.9,820.15,8,23,0.12,1000,97
ipop_real,42.0,794.34,768.75,825.525,8,24,0.07,1000,97
ipop_real,43.0,793.35,768.9,819.05,7,28,0.15,1000,97
ipop_real,44.0,784.51,758.0,811.525,7,28,0.04,1000,97
ipop_real,45.0,772.6,745.375,798.0,10,30,0.0,1000,97
ipop_real,46.0,752.77,730.0,779.525,14,28,0.0,1000,97
ipop_real,47.0,732.45,699.0,759.0,16,30,0.0,1000,97
ipop_real,48.0,708.48,678.9,741.5749999999999,18,31,0.0,1000,97
ipop_real,49.0,686.09,654.0,714.5749999999999,20,32,0.0,1000,97
ipop_real,50.0,668.51,638.95,701.0,21,34,0.0,1000,97
ipop_real,51.0,655.43,621.0,695.625,23,37,0.0,1000,97
ipop_real,52.0,634.97,603.95,663.05,24,39,0.0,1000,97
ipop_real,53.0,617.27,582.425,652.7749999999999,28,38,0.0,1000,97
ipop_real,54.0,607.61,569.425,638.0,28,40,0.0,1000,97
ipop_real,55.0,608.1,567.125,644.0999999999999,30,37,0.0,1000,97
ipop_real,56.0,608.95,570.425,644.625,28,37,0.0,1000,97
ipop_real,57.0,612.61,585.85,650.15,30,35,0.0,1000,97
ipop_real,58.0,619.37,590.475,652.0999999999999,31,35,0.0,1000,97
ipop_real,59.0,627.48,594.475,656.675,32,33,0.0,1000,97
ipop_real,60.0,638.21,603.85,668.0,34,32,0.0,1000,97
ipop_real,61.0,643.98,612.9,677.5749999999999,37,24,0.0,1000,97
ipop_real,62.0,643.6,613.475,681.05,39,21,0.0,1000,97
ipop_real,63.0,640.47,609.0,672.2499999999999,38,18,0.0,1000,97
ipop_real,64.0,638.92,599.275,666.0,40,16,0.0,1000,97
uniform,40.0,745.87,722.475,774.05,23,16,0.01,1000,97
uniform,41.0,745.27,708.425,774.05,25,12,0.02,1000,97
uniform,42.0,748.29,712.8,775.05,24,13,0.01,1000,97
uniform,43.0,753.16,722.475,781.15,24,13,0.04,1000,97
uniform,44.0,755.53,727.475,786.5749999999999,21,15,0.08,1000,97
uniform,45.0,754.6,728.95,788.5749999999999,20,15,0.05,1000,97
uniform,46.0,749.15,720.325,782.0999999999999,18,15,0.03,1000,97
uniform,47.0,741.94,713.425,773.05,19,15,0.02,1000,97
uniform,48.0,735.87,708.95,759.5749999999999,17,17,0.0,1000,97
uniform,49.0,730.37,697.425,752.0,16,20,0.0,1000,97
uniform,50.0,730.08,700.475,751.0,16,20,0.0,1000,97
uniform,51.0,731.46,700.475,754.525,12,23,0.0,1000,97
uniform,52.0,736.17,709.0,761.05,13,23,0.0,1000,97
uniform,53.0,746.7,721.475,775.675,13,22,0.01,1000,97
uniform,54.0,753.94,725.475,784.525,15,21,0.05,1000,97
uniform,55.0,758.92,733.0,787.5749999999999,15,22,0.14,1000,97
uniform,56.0,761.47,736.475,787.05,15,21,0.06,1000,97
uniform,57.0,765.78,739.475,792.525,15,24,0.11,1000,97
uniform,58.0,765.17,741.375,787.525,17,23,0.18,1000,97
uniform,59.0,762.53,738.475,795.5749999999999,20,21,0.13,1000,97
uniform,60.0,756.71,730.95,787.625,20,23,0.04,1000,97
uniform,61.0,749.2,715.6,786.05,23,19,0.02,1000,97
uniform,62.0,738.32,706.425,762.625,23,18,0.0,1000,97
uniform,63.0,728.07,695.0,753.0,22,21,0.0,1000,97
uniform,64.0,725.93,691.375,752.525,21,22,0.0,1000,97
normal,40.0,682.53,651.0,710.525,14,35,0.0,1000,97
normal,41.0,667.77,637.9,704.15,17,38,0.0,1000,97
normal,42.0,654.77,621.0,687.0,20,39,0.0,1000,97
normal,43.0,640.67,610.425,670.5749999999999,22,44,0.0,1000,97
normal,44.0,627.27,591.375,653.0,22,46,0.0,1000,97
normal,45.0,615.13,585.275,648.05,22,44,0.0,1000,97
normal,46.0,602.04,569.9,638.625,27,43,0.0,1000,97
normal,47.0,591.71,560.425,627.7749999999999,30,41,0.0,1000,97
normal,48.0,587.27,557.0,617.675,31,37,0.0,1000,97
normal,49.0,594.49,562.0,620.0999999999999,31,37,0.0,1000,97
normal,50.0,608.4,575.475,638.525,35,34,0.0,1000,97
normal,51.0,628.39,597.95,661.0999999999999,38,29,0.0,1000,97
normal,52.0,644.14,616.475,678.525,39,25,0.0,1000,97
normal,53.0,654.08,628.375,682.0,44,17,0.0,1000,97
normal,54.0,659.91,633.425,685.05,46,16,0.0,1000,97
normal,55.0,666.48,634.95,699.05,44,17,0.0,1000,97
normal,56.0,673.07,643.0,704.0999999999999,43,13,0.0,1000,97
normal,57.0,682.9,645.375,707.0,41,12,0.0,1000,97
normal,58.0,692.0,659.0,721.525,37,13,0.0,1000,97
normal,59.0,702.22,670.275,734.5749999999999,37,12,0.0,1000,97
normal,60.0,718.49,692.0,745.0999999999999,34,10,0.0,1000,97
normal,61.0,728.66,694.95,758.0,29,10,0.01,1000,97
normal,62.0,738.15,706.0,758.0,25,8,0.0,1000,97
normal,63.0,755.7,723.425,781.525,17,8,0.03,1000,97
normal,64.0,780.01,754.0,805.05,16,6,0.96,1000,97
bimodal,40.0,782.87,752.0,807.0,30,17,0.01,1000,97
bimodal,41.0,793.69,764.475,816.525,31,14,0.04,1000,97
bimodal,42.0,802.04,774.325,831.15,32,11,0.16,1000,97
bimodal,43.0,800.63,774.0,827.0,28,10,0.15,1000,97
bimodal,44.0,784.28,757.325,808.525,29,8,0.01,1000,97
bimodal,45.0,759.14,733.475,784.0,28,6,0.0,1000,97
bimodal,46.0,739.27,710.95,771.7249999999999,29,3,0.0,1000,97
bimodal,47.0,730.12,702.375,762.7749999999999,26,1,0.0,1000,97
bimodal,48.0,734.36,699.85,762.1999999999999,22,4,0.0,1000,97
bimodal,49.0,737.13,701.325,763.525,20,4,0.0,1000,97
bimodal,50.0,744.72,711.475,777.625,17,4,0.0,1000,97
bimodal,51.0,756.81,731.0,783.525,14,9,0.0,1000,97
bimodal,52.0,755.14,733.0,782.0,11,12,0.0,1000,97
bimodal,53.0,745.19,715.475,773.0,10,13,0.0,1000,97
bimodal,54.0,725.6,699.475,749.525,8,18,0.0,1000,97
bimodal,55.0,707.51,681.475,734.525,6,20,0.0,1000,97
bimodal,56.0,696.38,667.95,731.525,3,24,0.0,1000,97
bimodal,57.0,702.44,676.475,728.525,1,30,0.0,1000,97
bimodal,58.0,723.21,692.0,754.525,4,32,0.0,1000,97
bimodal,59.0,754.27,728.475,784.625,4,35,0.0,1000,97
bimodal,60.0,781.28,752.8,811.525,4,37,0.0,1000,97
bimodal,61.0,799.63,776.95,827.625,9,32,0.1,1000,97
bimodal,62.0,806.06,780.95,837.525,12,30,0.27,1000,97
bimodal,63.0,802.6,779.85,830.5749999999999,13,31,0.1,1000,97
bimodal,64.0,800.46,775.475,830.625,18,28,0.16,1000,97
