scenario,midpoint,mean_significant,q025,q975,n_young,n_old,n_molecules
homoskedastic,40.0,0.0,0.0,0.0,5,21,1000
homoskedastic,41.0,0.01,0.0,0.0,8,23,1000
homoskedastic,42.0,0.04,0.0,0.0,8,24,1000
homoskedastic,43.0,0.0,0.0,0.0,7,28,1000
homoskedastic,44.0,0.0,0.0,0.0,7,28,1000
homoskedastic,45.0,0.1,0.0,1.0,10,30,1000
homoskedastic,46.0,0.88,0.0,7.0,14,28,1000
homoskedastic,47.0,4.69,0.0,21.0,16,30,1000
homoskedastic,48.0,12.44,0.0,44.099999999999966,18,31,1000
homoskedastic,49.0,27.36,0.0,63.574999999999974,20,32,1000
homoskedastic,50.0,48.86,11.95,97.04999999999998,21,34,1000
homoskedastic,51.0,73.17,31.0,116.62499999999996,23,37,1000
homoskedastic,52.0,105.18,64.0,148.52499999999998,24,39,1000
homoskedastic,53.0,167.25,106.85,218.52499999999998,28,38,1000
homoskedastic,54.0,193.96,132.15,235.0,28,40,1000
homoskedastic,55.0,152.23,104.425,190.575,30,37,1000
homoskedastic,56.0,93.32,48.95,136.0,28,37,1000
homoskedastic,57.0,79.54,28.375,130.62499999999994,30,35,1000
homoskedastic,58.0,86.21,40.8,128.575,31,35,1000
homoskedastic,59.0,68.68,30.475,104.09999999999997,32,33,1000
homoskedastic,60.0,81.16,36.325,115.52499999999999,34,32,1000
homoskedastic,61.0,23.34,0.0,52.52499999999999,37,24,1000
homoskedastic,62.0,17.3,0.0,50.04999999999998,39,21,1000
homoskedastic,63.0,5.22,0.0,19.0,38,18,1000
homoskedastic,64.0,6.63,0.0,24.049999999999983,40,16,1000
variance_increasing,40.0,0.0,0.0,0.0,5,21,1000
variance_increasing,41.0,0.0,0.0,0.0,8,23,1000
variance_increasing,42.0,0.0,0.0,0.0,8,24,1000
variance_increasing,43.0,0.0,0.0,0.0,7,28,1000
variance_increasing,44.0,0.0,0.0,0.0,7,28,1000
variance_increasing,45.0,0.04,0.0,1.0,10,30,1000
variance_increasing,46.0,0.23,0.0,1.5249999999999915,14,28,1000
variance_increasing,47.0,0.44,0.0,3.0,16,30,1000
variance_increasing,48.0,1.08,0.0,6.5249999999999915,18,31,1000
variance_increasing,49.0,2.18,0.0,10.524999999999991,20,32,1000
variance_increasing,50.0,2.64,0.0,14.049999999999983,21,34,1000
variance_increasing,51.0,3.81,0.0,17.0,23,37,1000
variance_increasing,52.0,4.41,0.0,22.049999999999983,24,39,1000
variance_increasing,53.0,8.96,0.0,34.52499999999999,28,38,1000
variance_increasing,54.0,10.75,0.0,31.049999999999983,28,40,1000
variance_increasing,55.0,7.23,0.0,28.0,30,37,1000
variance_increasing,56.0,2.35,0.0,11.574999999999974,28,37,1000
variance_increasing,57.0,3.05,0.0,13.0,30,35,1000
variance_increasing,58.0,2.37,0.0,11.524999999999991,31,35,1000
