layer,midpoint,k_per_side,n_significant,n_young,n_old,window_width_years,median_abs_d,null_mean,null_q975,p_fwer_window
plasma_transcriptome,40.0,16,0,0,0,,,0.0,0.0,1.0
plasma_transcriptome,41.0,16,0,0,0,,,0.0,0.0,1.0
plasma_transcriptome,42.0,16,0,0,0,,,0.0,0.0,1.0
plasma_transcriptome,43.0,16,0,0,0,,,0.0,0.0,1.0
plasma_transcriptome,44.0,16,0,0,0,,,0.0,0.0,1.0
plasma_transcriptome,45.0,16,0,0,0,,,0.0,0.0,1.0
plasma_transcriptome,46.0,16,0,16,16,19.25,0.2615824626098783,0.148,0.0,1.0
plasma_transcriptome,47.0,16,0,16,16,13.530000000000008,0.2584139949027629,1.724,0.0,1.0
plasma_transcriptome,48.0,16,0,16,16,12.68,0.27017333507425045,0.0,0.0,1.0
plasma_transcriptome,49.0,16,0,16,16,12.509999999999991,0.2726254659712886,0.004,0.0,1.0
plasma_transcriptome,50.0,16,0,16,16,10.39,0.24854772829807256,1.766,0.0,1.0
plasma_transcriptome,51.0,16,0,16,16,10.79,0.2293212005350792,1.944,0.0,1.0
plasma_transcriptome,52.0,16,0,16,16,10.689999999999998,0.21779381895891675,0.0,0.0,1.0
plasma_transcriptome,53.0,16,0,16,16,9.700000000000003,0.19935541288587227,0.002,0.0,1.0
plasma_transcriptome,54.0,16,0,16,16,9.330000000000005,0.1995690686657498,0.024,0.0,1.0
plasma_transcriptome,55.0,16,0,16,16,9.060000000000002,0.20773955944499636,3.796,0.0,1.0
plasma_transcriptome,56.0,16,0,16,16,9.479999999999997,0.24050853838285702,2.24,0.0,1.0
plasma_transcriptome,57.0,16,0,16,16,8.25,0.37623327955466124,3.544,0.0,1.0
plasma_transcriptome,58.0,16,0,16,16,8.010000000000005,0.3495465726822968,0.002,0.0,1.0
plasma_transcriptome,59.0,16,0,16,16,7.5800000000000125,0.22002978857502645,1.272,0.0,1.0
plasma_transcriptome,60.0,16,0,16,16,7.119999999999997,0.2158434980872882,1.36,0.0,1.0
plasma_transcriptome,61.0,16,0,16,16,8.79,0.17532380168283263,0.0,0.0,1.0
plasma_transcriptome,62.0,16,0,16,16,9.699999999999996,0.21785345382083102,0.012,0.0,1.0
plasma_transcriptome,63.0,16,0,16,16,9.960000000000008,0.2559403523316939,0.508,0.0,1.0
plasma_transcriptome,64.0,16,0,16,16,13.210000000000008,0.2265313352908651,0.066,0.0,1.0
plasma_proteomics,40.0,17,0,0,0,,,0.0,0.0,1.0
plasma_proteomics,41.0,17,0,0,0,,,0.0,0.0,1.0
plasma_proteomics,42.0,17,0,0,0,,,0.0,0.0,1.0
plasma_proteomics,43.0,17,0,0,0,,,0.0,0.0,1.0
plasma_proteomics,44.0,17,0,0,0,,,0.0,0.0,1.0
plasma_proteomics,45.0,17,0,0,0,,,0.0,0.0,1.0
plasma_proteomics,46.0,17,0,17,17,19.25,0.22788716542252216,0.03,0.0,1.0
plasma_proteomics,47.0,17,0,17,17,13.530000000000008,0.22021227354031966,0.026,0.5249999999999773,1.0
plasma_proteomics,48.0,17,0,17,17,12.68,0.20252695750183755,0.012,0.0,1.0
plasma_proteomics,49.0,17,0,17,17,12.590000000000003,0.23091680757166905,0.018,0.0,1.0
plasma_proteomics,50.0,17,0,17,17,10.369999999999997,0.2433344111456236,0.026,0.0,1.0
plasma_proteomics,51.0,17,0,17,17,10.490000000000002,0.2143079880584721,0.018,0.0,1.0
plasma_proteomics,52.0,17,0,17,17,10.18,0.20643971265075897,0.01,0.0,1.0
plasma_proteomics,53.0,17,0,17,17,9.400000000000006,0.20327420185070075,0.02,0.0,1.0
plasma_proteomics,54.0,17,0,17,17,9.050000000000004,0.24674350654874627,0.018,0.0,1.0
plasma_proteomics,55.0,17,0,17,17,8.54999999999999,0.24590861498265348,0.02,0.0,1.0
plasma_proteomics,56.0,17,0,17,17,9.049999999999997,0.22294065417563685,0.014,0.0,1.0
plasma_proteomics,57.0,17,0,17,17,8.14,0.2728688875325676,0.03,0.0,1.0
plasma_proteomics,58.0,17,0,17,17,7.280000000000001,0.24394577430656705,0.028,0.0,1.0
plasma_proteomics,59.0,17,0,17,17,8.429999999999993,0.23851719460998372,0.03,0.0,1.0
plasma_proteomics,60.0,17,0,17,17,7.400000000000013,0.24228303627795522,0.018,0.0,1.0
plasma_proteomics,61.0,17,0,17,17,9.230000000000004,0.23961976509958582,0.02,0.0,1.0
plasma_proteomics,62.0,17,0,17,17,10.21,0.21694186824444706,0.03,0.0,1.0
plasma_proteomics,63.0,17,0,17,17,10.540000000000006,0.21425526348865703,0.026,0.0,1.0
plasma_proteomics,64.0,17,0,17,17,15.050000000000004,0.23915798688392786,0.026,0.0,1.0
plasma_metabolomics_metabolite,40.0,16,0,0,0,,,0.0,0.0,1.0
plasma_metabolomics_metabolite,41.0,16,0,0,0,,,0.0,0.0,1.0
plasma_metabolomics_metabolite,42.0,16,0,0,0,,,0.0,0.0,1.0
plasma_metabolomics_metabolite,43.0,16,0,0,0,,,0.0,0.0,1.0
plasma_metabolomics_metabolite,44.0,16,0,0,0,,,0.0,0.0,1.0
plasma_metabolomics_metabolite,45.0,16,0,0,0,,,0.0,0.0,1.0
plasma_metabolomics_metabolite,46.0,16,0,16,16,19.25,0.25816033487099005,0.018,0.0,1.0
plasma_metabolomics_metabolite,47.0,16,0,16,16,13.530000000000008,0.31792913800221767,0.04,0.0,1.0
plasma_metabolomics_metabolite,48.0,16,0,16,16,13.07,0.27037178949316665,0.014,0.0,1.0
plasma_metabolomics_metabolite,49.0,16,0,16,16,13.040000000000006,0.27235573825658776,0.02,0.0,1.0
plasma_metabolomics_metabolite,50.0,16,0,16,16,10.369999999999997,0.2759434727521341,0.006,0.0,1.0
plasma_metabolomics_metabolite,51.0,16,0,16,16,10.700000000000003,0.2256436896461563,0.024,0.0,1.0
plasma_metabolomics_metabolite,52.0,16,0,16,16,10.219999999999999,0.20973562064378468,0.02,0.0,1.0
plasma_metabolomics_metabolite,53.0,16,0,16,16,9.16000000000001,0.2381930242992891,0.044,0.0,1.0
plasma_metabolomics_metabolite,54.0,16,0,16,16,9.219999999999999,0.23161883438984848,0.022,0.0,1.0
plasma_metabolomics_metabolite,55.0,16,0,16,16,8.779999999999987,0.2941694104927986,0.012,0.0,1.0
plasma_metabolomics_metabolite,56.0,16,0,16,16,9.200000000000003,0.2955601128062858,0.026,0.0,1.0
plasma_metabolomics_metabolite,57.0,16,0,16,16,8.269999999999996,0.2870063133382901,0.038,0.0,1.0
plasma_metabolomics_metabolite,58.0,16,0,16,16,8.010000000000005,0.28434727174299496,0.004,0.0,1.0
plasma_metabolomics_metabolite,59.0,16,0,16,16,8.43999999999999,0.2613761066610135,0.012,0.0,1.0
