layer,dropped_subject_index,dropped_subject_age,median_supF_full,median_supF_dropped,supF_retention
plasma_cytokine,0,59.48,35.504388155748,35.144896293866765,0.9898747202654431
plasma_cytokine,1,58.4,35.504388155748,35.115213403884894,0.9890386858617052
plasma_cytokine,2,25.91,35.504388155748,0.9780204099341075,0.02754646568316571
plasma_cytokine,3,57.86,35.504388155748,40.52446308489317,1.1413930837823054
plasma_cytokine,4,58.02,35.504388155748,35.101722089222605,0.9886586957995442
plasma_cytokine,5,65.24,35.504388155748,35.24524038088252,0.9927009649137264
plasma_cytokine,6,61.17,35.504388155748,35.15338311920662,0.9901137562207348
plasma_cytokine,7,56.22,35.504388155748,35.06828644872168,0.9877169631789382
plasma_cytokine,8,49.18,35.504388155748,34.89888679674203,0.9829457317684281
plasma_cytokine,9,64.81,35.504388155748,35.18512370669578,0.9910077467705766
plasma_cytokine,10,59.21,35.504388155748,35.12002015544735,0.9891740705792609
plasma_cytokine,11,44.81,35.504388155748,35.47999322845847,0.9993129038815562
plasma_cytokine,12,60.17999999999999,35.504388155748,35.158239755533,0.9902505459692322
plasma_cytokine,13,46.04,35.504388155748,34.934849859276206,0.98395865057656
plasma_cytokine,14,67.47,35.504388155748,35.11717510844652,0.9890939383153742
plasma_cytokine,15,66.81,35.504388155748,35.160274804734925,0.9903078642137544
plasma_cytokine,16,49.69,35.504388155748,34.98411933862959,0.9853463517006367
plasma_cytokine,17,33.79,35.504388155748,37.190730223654086,1.0474967223912877
plasma_cytokine,18,59.25,35.504388155748,35.12774086755265,0.9893915285473136
plasma_cytokine,19,54.15999999999999,35.504388155748,35.09703960270775,0.9885268110732306
plasma_cytokine,20,45.43,35.504388155748,34.87946906504149,0.9823988210143162
plasma_cytokine,21,60.18,35.504388155748,35.09153511012062,0.988371774108138
plasma_cytokine,22,61.0,35.504388155748,35.14164156820066,0.9897830491837777
plasma_cytokine,23,54.74,35.504388155748,35.03219765135083,0.986700502982172
plasma_cytokine,24,38.8,35.504388155748,32.35187148126603,0.9112076890143058
plasma_cytokine,25,60.19,35.504388155748,35.130630707630914,0.9894729224320803
plasma_cytokine,26,40.97,35.504388155748,31.87676535177831,0.8978260718631086
plasma_cytokine,27,55.62,35.504388155748,35.598850296117575,1.0026605764886074
plasma_cytokine,28,43.99,35.504388155748,34.899692287958246,0.982968418857491
plasma_cytokine,29,63.45,35.504388155748,35.0022630183681,0.9858573781027511
plasma_cytokine,30,69.0,35.504388155748,35.282062612508135,0.9937380826768627
plasma_cytokine,31,56.26,35.504388155748,35.17265848510763,0.990656657166287
plasma_cytokine,32,60.34,35.504388155748,35.30844974347664,0.9944812902728578
plasma_cytokine,33,53.72,35.504388155748,35.05542660695025,0.9873547588870344
plasma_cytokine,34,52.25,35.504388155748,34.99740354030021,0.9857205083150908
plasma_cytokine,35,31.37,35.504388155748,39.415592330364134,1.1101611484602623
plasma_cytokine,36,60.6,35.504388155748,35.121770806323966,0.9892233785934966
plasma_cytokine,37,63.260000000000005,35.504388155748,35.14591063675635,0.9899032897731088
plasma_cytokine,38,62.79999999999999,35.504388155748,35.17679700199096,0.9907732206982419
plasma_cytokine,39,62.92,35.504388155748,35.17234286015869,0.9906477674215165
plasma_cytokine,40,67.09,35.504388155748,35.23439241414487,0.9923954261535578
plasma_cytokine,41,55.85999999999999,35.504388155748,35.06184060105629,0.987535412446755
plasma_cytokine,42,44.41,35.504388155748,34.83209523154948,0.9810645117654371
plasma_cytokine,43,51.58,35.504388155748,35.044790512719885,0.9870551876288647
plasma_cytokine,44,47.52,35.504388155748,35.01031090246983,0.9860840510443163
plasma_cytokine,45,50.7,35.504388155748,35.02095269730862,0.9863837828631582
plasma_cytokine,46,57.04,35.504388155748,35.09237061814849,0.9883953066366866
plasma_cytokine,47,50.53,35.504388155748,34.92070070507689,0.9835601321135112
plasma_cytokine,48,60.5,35.504388155748,35.104649184245616,0.9887411389896696
plasma_cytokine,49,58.19,35.504388155748,35.100128821493456,0.98861382056547
plasma_cytokine,50,56.73,35.504388155748,35.07703665058698,0.9879634172743282
