layer,bucket,q_threshold,real_crest,null_crest_median,null_crest_q025,null_crest_q975,null_frac_within2_of_real
plasma_transcriptome,15,0.0001,44.0,40.0,40.0,43.0,0.22
plasma_transcriptome,15,0.001,44.0,40.0,40.0,44.0,0.32
plasma_transcriptome,15,0.01,44.0,40.0,40.0,44.0,0.41
plasma_transcriptome,15,0.05,44.0,41.0,40.0,44.0,0.43
plasma_transcriptome,20,0.0001,43.0,40.0,40.0,43.0,0.17
plasma_transcriptome,20,0.001,43.0,40.0,40.0,43.0,0.25
plasma_transcriptome,20,0.01,44.0,40.0,40.0,44.0,0.33
plasma_transcriptome,20,0.05,43.0,40.0,40.0,44.0,0.48
plasma_transcriptome,25,0.0001,45.0,40.0,40.0,42.04999999999998,0.03
plasma_transcriptome,25,0.001,44.0,40.0,40.0,41.0,0.02
plasma_transcriptome,25,0.01,43.0,40.0,40.0,43.0,0.1
plasma_transcriptome,25,0.05,43.0,40.0,40.0,45.0,0.25
plasma_transcriptome,30,0.0001,46.0,40.0,40.0,40.0,0.0
plasma_transcriptome,30,0.001,46.0,40.0,40.0,40.0,0.0
plasma_transcriptome,30,0.01,46.0,40.0,40.0,40.0,0.01
plasma_transcriptome,30,0.05,46.0,40.0,40.0,43.0,0.02
plasma_transcriptome,-1,-1.0,,3.0,,,0.79
plasma_proteomics,15,0.0001,44.0,40.0,40.0,43.0,0.08
plasma_proteomics,15,0.001,43.0,40.0,40.0,44.0,0.18
plasma_proteomics,15,0.01,43.0,40.0,40.0,44.0,0.35
plasma_proteomics,15,0.05,43.0,40.0,40.0,44.0,0.43
plasma_proteomics,20,0.0001,42.0,40.0,40.0,41.0,1.0
plasma_proteomics,20,0.001,44.0,40.0,40.0,43.0,0.11
plasma_proteomics,20,0.01,44.0,40.0,40.0,43.52499999999999,0.19
plasma_proteomics,20,0.05,44.0,40.0,40.0,43.0,0.26
plasma_proteomics,25,0.0001,40.0,40.0,40.0,40.0,1.0
plasma_proteomics,25,0.001,45.0,40.0,40.0,40.52499999999999,0.0
plasma_proteomics,25,0.01,44.0,40.0,40.0,42.0,0.06
plasma_proteomics,25,0.05,44.0,40.0,40.0,43.0,0.14
plasma_proteomics,30,0.0001,40.0,40.0,40.0,40.0,1.0
plasma_proteomics,30,0.001,40.0,40.0,40.0,40.0,1.0
plasma_proteomics,30,0.01,40.0,40.0,40.0,40.0,0.99
plasma_proteomics,30,0.05,40.0,40.0,40.0,41.0,0.98
plasma_proteomics,-1,-1.0,,2.0,,,1.0
